tipo do objeto,maps-user,nome por extenso,sigla,nome,importar,código das escolas,CNES - Cadastro Nacional de Estabelecimentos de Saúde,endereço,nº,complemento,bairro,preposição,Distrito,Sub-prefeitura,CeP,município,UF,DDD,telefone,fax,e-mail,Nome do Contato,Cargo do contato,Site,CNPJ,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Fonte,Link,Texto Link,Data,Fonte,Link,Texto link,Data,descrição,Referencia (links),Palavras-chave (nome do projeto),Palavras-chave,Palavras-chave (Distrito),Palavras-chave,Palavras-chave,Palavras-chave (Estado),Palavra-chave (Trilha 1/Igarassu),Palavra-chave (Trilha 1/Igirassu),Palavra-chave (Trilha 1/Igirassu),Palavra-chave (Trilha 4/Igirassu),público-alvo 1,público-alvo 2,público-alvo 3,público-alvo 4,público-alvo 5,público-alvo 6,Projeto,Área de abrangência,horário de funcionamento,código conselho tutelar,diretoria de ensino,situação de funcionamento,latitude,longitude,Código da Escola Municipal,Palavra-chave,Palavra-chave,Programas oferecidos (Contraturno),Programas Sócio educativos (1)
O,http://maps.mootiro.org/user/profile/347,O Centro Comunitário da Criança do Parque Itajaí I e Região,,Centro Comunitário da Criança do Parque Itajaí I e Região,sim,,,Rua Padre Josimo Moraes Tavares,164/190 ,,Conjunto Habitacional Parque Itajaí,na,Administração Regional 13,Região Noroeste,13058-011,Campinas,SP,19,3261-2403,,ccc.pqitajai@yahoo.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Noroeste,Administração Regional 13,,,,crianças (4-6),crianças (7-12),adolescentes (13-17),,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Centro Promocional Nossa Senhora da Visitação,,Centro Promocional Nossa Senhora da Visitação,sim,,,Avenida Márcio Egídio de Souza Aranha,143,,Jardim Ipaussurama,na,Administração Regional 5,Região Noroeste,13060-840,Campinas,SP,19,3227-8128,,visitacao@ig.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Noroeste,Administração Regional 5,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Centro Social Lírio dos Vales,,Centro Social Lírio dos Vales,sim,,,Rua Agnaldo Macedo, 204/212,,Jardim da Oliveiras,na,Administração Regional 9,Região Sul,13044-000,Campinas,SP,19,3276-5766,,liriodosvales.adm@gmail.com,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 9,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Conselho Comunitário de Campinas,,Conselho Comunitário de Campinas,sim,,,Avenida Nestor Castanheira,50,,Vila Discola,na,Administração Regional 6,Região Sul,13036-100,Campinas,SP,19,3273-1112,,conselhocomunitario@ig.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB – PAIF - Potencialização do serviço de proteção e atendimento integral à família, PSEMC - PAEFI - I Atendimento especializado às Famílias, crianças e adolescentes que vivenciam violações de direitos, PSEMC - PAEFI - II Atendimento especializado às Famílias, crianças e adolescentes que vivenciam violações de direitos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 6,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Creche Estrelinha do Oriente,,Creche Estrelinha do Oriente,sim,,,Avenida João Prata Vieira,31,,Parque Vista Alegre,na,Administração Regional 12,Região Sudoeste,13054-370,Campinas,SP,19,3226-8000,,estrelinhadoriente@ig.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sudoeste,Administração Regional 12,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Associação Criança e Adolescente em Ação,,Criança e Adolescente em Ação,sim,,,Avenida Presidente Costa e Silva,186,,Vila Costa e Silva,na,Administração Regional 3,Região Centro,13081-500,Campinas,SP,19,3209-0551,,caa@gmail.com,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 3,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Grupo Comunitário Criança Feliz,,Grupo Comunitário Criança Feliz,sim,,,Rua Francisco Mesquita,106,,Vila Brandina,na,Administração Regional 2,Região Centro,13092-511,Campinas,SP,,,,g.c.feliz@terra.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 2,sem telefone,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Instituição Paulista Adventista de Educação e Assistência Social Núcleo Social Profª Cássia Rodrigues Lasca,,Instituição Paulista Adventista de Educação e Assistência Social Núcleo Social Profª Cássia Rodrigues Lasca,sim,,,Rua Engenheiro Augusto de Figueiredo,2341,,Parque dos Cisnes,na,Administração Regional 9,Região Sul,13045-248,Campinas,SP,19,3276-4102,,advent@feac.org.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 9,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Instituto Campineiro dos Cegos Trabalhadores,,Instituto Campineiro dos Cegos Trabalhadores,sim,,,Avenida Washington Luis,570,,Jardim Leonor,na,Administração Regional 8,Região Sul,13041-005,Campinas,SP,19,3231-2136,,instcegos@bol.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência (19) 3231-0979,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 8,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Instituto de Pedagogia Terapêutica Prof. Norberto de Souza Pinto,,Instituto de Pedagogia Terapêutica Prof. Norberto de Souza Pinto,sim,,,Rua Dr. Miguel Penteado,787,,Jardim Chapadão,na,Administração Regional 11,Região Norte,13070-118,Campinas,SP,19,2138-4250,,ipt.norberto@uol.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 11,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Instituto Educacional Professora Maria do Carmo Arruda Toledo,CADAF,Instituto Educacional Professora Maria do Carmo Arruda Toledo,sim,,,Rua Alaíde Nascimento de Lemos,532,,Vila Lemos,na,Administração Regional 10,Região Sul,13100-453,Campinas,SP,19,3201-0367,,donacarminha@donacarminha.org.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSEMC (T) - Programa de atenção às pessoas com deficiência (19) 3201-0358,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 10,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Lar Campinense de Bem Estar à Criança e ao Adolescente - Lar Vovó Isabel,,Lar Campinense de Bem Estar à Criança e ao Adolescente - Lar Vovó Isabel,sim,,,Rua Martin Luther King Júnior,400,,Jardim Eulina,na,Administração Regional 11,Região Norte,13063-580,Campinas,SP,19,3242-8066,,roseli.lar@ig.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Administração Regional 11,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Lar da Amizade Ilce da Cunha Henry,,Lar da Amizade Ilce da Cunha Henry,sim,,,Rua Padre Francisco de Abreu Sampaio,390,,Parque Itália,na,Administração Regional 6,Região Sul,13030-350,Campinas,SP,19,3272-8018,,lardaamizade@ig.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSEAC - Serviço de acolhimento institucional para pessoas idosas - Abrigo - Grau de Dependência I, PSEAC - Serviço de acolhimento institucional para pessoas idosas - Abrigo - Grau de Dependência II",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sul,Administração Regional 6,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Lar Escola Nossa Senhora do Calvário,,Lar Escola Nossa Senhora do Calvário,sim,,,Rua Nossa Senhora do Calvário,157,,Jardim São Pedro de Viracopos,na,Administração Regional 12,Região Sudoeste,13056-169,Campinas,SP,19,3265-2460,,nucleocalvariano@madrececilia.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sudoeste,Administração Regional 12,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Núcleo de Ação Social,NAS,Núcleo de Ação Social,sim,,,Rua Antônio Marcos Pensamento da Silva,371,,Real Parque,no,Distrito Barão Geraldo,Região Norte,13082-790,Campinas,SP,19,3289-3470,,nas@nas.org.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses (19) 9191-2990,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Barão Geraldo,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Projeto Gente Nova - Castelo Branco,,Projeto Gente Nova - Castelo Branco,sim,,,Rua Castelnuovo,699,,Vila Castelo Branco,na,Administração Regional 5,Região Noroeste,13061-266,Campinas,SP,19,3269-6088,,projetogentenova@yahoo.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos, PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais, PSB – PAIF - Potencialização do serviço de proteção e atendimento integral à família, PSEMC - PAEFI - I Atendimento especializado às Famílias, crianças e adolescentes que vivenciam violações de direitos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Noroeste,Administração Regional 5,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Serviço Social Nova Jerusalém,,Serviço Social Nova Jerusalém,sim,,,Rua Presidente Alves,1252,,Jardim Flamboyant,na,Administração Regional 2,Região Centro,13091-107,Campinas,SP,19,3755-8050,,ssnovajerusalem@gmail.com,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 2,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade das Filhas de Nossa Senhora do Sagrado Coração Casa da Criança Madre Maria Anastácia,,Sociedade das Filhas de Nossa Senhora do Sagrado Coração Casa da Criança Madre Maria Anastácia,sim,,,Rua Daniel Godoy Pereira,52,,Conjunto Residencial Vida Nova,na,Administração Regional 12,Região Sudoeste,13057-541,Campinas,SP,19,3266-3222,,ccmacampinas@ig.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sudoeste,Administração Regional 12,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade das Filhas de Nossa Senhora do Sagrado Coração Casa da Criança Maria Luísa Hartzer,,Sociedade das Filhas de Nossa Senhora do Sagrado Coração Casa da Criança Maria Luísa Hartzer,sim,,,Rua Antônio Vicente Levantezi,290,,Parque Montreal,na,Administração Regional 7,Região Sudoeste,13052-344,Campinas,SP,19,3225-8884,,ccmlh.campinas@terra.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB – PAIF - Potencialização do serviço de proteção e atendimento integral à família, PSB - SCFV - Centros de Convivência Inclusivos e Intergeracionais",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Sudoeste,Administração Regional 7,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade Feminina de Assistência  Infância,,Sociedade Feminina de Assistência  Infância,sim,,,Rua Cônego Scipião,802,,Centro,na,Administração Regional 1,Região Centro, 13010-010,Campinas,SP,19,3231-2831,,bentoquirino@bol.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,"PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses, PSB – SCFV - Adolescentes e jovens de 15 a 24 anos",,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Centro,Administração Regional 1,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Sociedade Pró-Menor Barão Geraldo,,Sociedade Pró-Menor Barão Geraldo,sim,,,Avenida Angelino Gregório,110,,Jardim América,no,Distrito Barão Geraldo,Região Norte, 13084-415,Campinas,SP,19,3289-9500,,pmenor@mpcnet.com.br,,,,,Assistência Social,,,,"Secretaria Municipal de Cidadania, Assistência e Inclusão Social (SMCAIS) de Campinas",https://docs.google.com/open?id=0B87mzxyNyjjhdDdHRXc1cXNBdDA,Relação de entidades que integram a Rede Socioassistencial confinanciada pela SMCAIS,28/10/2012,,,,,PSB - SCFV - Crianças e adolescentes de 06 a 14 anos e 11 meses,,Campinas,sem ponto,Associação,São Paulo,Rede Socioassistencial,Região Norte,Barão Geraldo,,,,,,,,,,,,,,,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,O Colégio Estadual Culto à Ciência,,Colégio Estadual Culto à Ciência,sim,35018326,,Rua Culto à Ciência,422,,Botafogo,na,Administração Regional 1,Região Centro,13020-060,Campinas,SP,19,3232-3511 | 3237-5137,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Prof. João Lourenço Rodrigues,EE,Escola Estadual Prof. João Lourenço Rodrigues,sim,35018235,,Rua Doutor Emílio Ribas,710,,Cambuí,na,Administração Regional 1,Região Centro,13025-141,Campinas,SP,19,3251-1586 | 3294-4005 ,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual 31 de Março,EE,Escola Estadual 31 de Março,sim,35018533,,Rua Pedro Pinheiro,385,,Jardim Santa Mônica,na,Administração Regional 4,Região Norte,13082-160,Campinas,SP,19,3246-0077 ,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Adalberto Nascimento,EE,Escola Estadual Adalberto Nascimento,sim,35018284,,Rua Adalberto Maia,235,,Taquaral,na,Administração Regional 3,Região Centro,13076-007,Campinas,SP,19,3251-2824,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Major Adolpho Rossin,EE,Escola Estadual Major Adolpho Rossin,sim,35047776,,Rua Gertrudes Moro Rossim,178,,Cidade Satélite Íris,na,Administração Regional 13,Região Noroeste,13059-627,Campinas,SP,19,3261-1384 | 3261-1911 ,,,,,,,Educação,,,,Diretoria de Ensino Campinas Oeste,http://decampinasoeste.com.br/images/endereco_escolas.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Oeste,28/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Noroeste,Administração Regional 13,,,,,,,,,,,,,,Diretoria de Ensino Campinas Oeste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Prefeito Antônio da Costa Santos,EE,Escola Estadual Prefeito Antônio da Costa Santos,sim,35922985,,Rua Guerino Donega,40,,Jardim Planalto de Viracopos,na,Administração Regional 12,Região Sudoeste,13056-017,Campinas,SP,19,3225-9944,,,,,,,Educação,,,,Diretoria de Ensino Campinas Oeste,http://decampinasoeste.com.br/images/endereco_escolas.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Oeste,28/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Noroeste,Administração Regional 13,,,,,,,,,,,,,,Diretoria de Ensino Campinas Oeste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Profa. Áurea Anunciação Américo de Godoi,EE,Escola Estadual Profa. Áurea Anunciação Américo de Godoi,sim,35018156,,Rua Joaquim Severino,245,,Jardim Samambaia,na,Administração Regional 9,Região Sul,13046-540,Campinas,SP,19,3276-5211,,,,,,,Educação,,,,Diretoria de Ensino Campinas Oeste,http://decampinasoeste.com.br/images/endereco_escolas.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Oeste,28/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Noroeste,Administração Regional 13,,,,,,,,,,,,,,Diretoria de Ensino Campinas Oeste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Barão Ataliba Nogueira,EE,Escola Estadual Barão Ataliba Nogueira,sim,35018764,,Rua Cássio Ciampolini,76,,Jardim Magnólia,na,Administração Regional 11,Região Norte,13033-515,Campinas,SP,19,3213-2400 | 3241-4123,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Barão Geraldo de Rezende,EE,Escola Estadual Barão Geraldo de Rezende,sim,35018521,,Rua Jerônimo Pattaro,s/n,,Barão Geraldo,no,Distrito Barão Geraldo,Região Norte,13084-110,Campinas,SP,19,3289-1192,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Carlos Alberto Galhiego,EE,Escola Estadual Carlos Alberto Galhiego,sim,35039901,,Avenida John Boyd Dunlop,s/n,,Jardim Paulicéia,na,Administração Regional 7,Região Sudoeste,13060-085,Campinas,SP,19,3261-1388 ,,,,,,,Educação,,,,Diretoria de Ensino Campinas Oeste,http://decampinasoeste.com.br/index.php/contatos/setores/43-contatos/escolas,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Oeste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Noroeste,Administração Regional 13,sem telefone,,,,,,,,,,,,,Diretoria de Ensino Campinas Oeste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Carlos Gomes,EE,Escola Estadual Carlos Gomes,sim,35018302,,Avenida Anchieta,80,,Centro,na,Administração Regional 1,Região Centro,13015-100,Campinas,SP,19,3231-3033,,,,,,,Educação,,,,Diretoria de Ensino Campinas Leste,http://decampinasleste.edunet.sp.gov.br/Escolas/escolas_est_mod.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Leste,29/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Centro,Administração Regional 1,,,,,,,,,,,,,,Diretoria de Ensino Campinas Leste,,,,,,,,
O,http://maps.mootiro.org/user/profile/347,A Escola Estadual Deputado Eduardo Barnabé,EE,Escola Estadual Deputado Eduardo Barnabé,sim,35047156,,Rua Adílio de Oliveira Gonçalves,s/n,,DIC I (Conjunto Habitacional Monsenhor Luiz Fernando Abreu),na,Administração Regional 12,Região Sudoeste,13056-342,Campinas,SP,19,3266-7708,,,,,,,Educação,,,,Diretoria de Ensino Campinas Oeste,http://decampinasoeste.com.br/images/endereco_escolas.htm,Lista das Escolas Estaduais da Diretoria de Ensino Campinas Oeste,28/10/2012,,,,,,,Campinas,Escola estadual,Escola ,sem ponto,São Paulo,Região Noroeste,Administração Regional 13,,,,,,,,,,,,,,Diretoria de Ensino Campinas Oeste,,,,,,,,
